,Has Online delivery,Is delivering now,Price range,Votes,Num_of_Cuisines,Dollar_Standard_Avg_Cost_2,Australia,Botswana,Brazil,Canada,India,Indonesia,New Zealand,Qatar,Singapore,South Africa,Sri Lanka,Turkey,UAE,UK,USA,Val_Mon
2232,0,0,2,87,3,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.1176470588235294
2233,0,0,1,4,1,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2
2234,0,0,2,35,2,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8181818181818183
2235,0,0,1,25,2,3.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.125
2236,1,0,1,44,3,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.4999999999999998
2237,0,0,2,27,4,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8181818181818183
2238,1,0,1,14,1,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7777777777777777
2239,0,0,1,11,1,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.96
2240,1,0,2,11,1,8.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.625
2241,1,0,2,43,2,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8461538461538463
2242,1,0,1,127,2,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.263157894736842
2243,0,0,2,60,3,6.6000000000000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8333333333333335
2244,1,0,2,51,1,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6216216216216215
2245,0,0,2,45,3,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6666666666666665
2246,1,0,3,200,3,15.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.457142857142857
2247,0,0,2,76,2,9.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.6666666666666665
2251,1,0,1,49,2,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0
2252,0,0,4,305,6,42.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.052631578947368
2253,0,0,4,219,2,48.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.0
2254,0,0,2,15,2,7.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.4827586206896552
2255,0,0,1,5,3,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8571428571428572
2256,0,0,1,6,2,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0344827586206897
2257,1,0,1,10,2,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.111111111111111
2258,0,0,1,14,1,4.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.7142857142857144
